group_prefix,example_uttid,missing_texts,missing_count,total_segments,asr_result_raw_example
"ASR-A10&""-","ASR-A10&""-""&D10",['| 豆包豆包，想看我打球的还是金管。'],1,1,"[{""asr_result"": ""豆包豆包，想看我打球的还是金管的？"", ""start_time"": 1.0, ""end_time"": 4.427}]"
ASR-A1000&,"ASR-A1000&""-""&D1000",['| 豆包他这个换手率，换手率越高是不是越好啊？'],1,1,"[{""asr_result"": ""豆包，它这个换手率，换手率越高是不是越好啊？"", ""start_time"": 1.0, ""end_time"": 5.234}]"
ASR-A1002&,"ASR-A1002&""-""&D1002",['| 我想看某一只股票的融资净买入额，这怎么看呢？'],1,1,"[{""asr_result"": ""我想看某一只股票的融资净买入额，这怎么看呢？"", ""start_time"": 1.0, ""end_time"": 5.513}]"
ASR-A1004&,"ASR-A1004&""-""&D1004",['| 我现在融资余额。'],1,1,"[{""asr_result"": ""我现在融资余额。"", ""start_time"": 1.0, ""end_time"": 2.684}]"
ASR-A1006&,"ASR-A1006&""-""&D1006",['| 融资。'],1,1,"[{""asr_result"": ""《融资》"", ""start_time"": 1.0, ""end_time"": 1.8}]"
ASR-A1008&,"ASR-A1008&""-""&D1008",['| 6.3。'],1,1,"[{""asr_result"": ""6.3."", ""start_time"": 1.0, ""end_time"": 2.15}]"
"ASR-A101&""","ASR-A101&""-""&D101",['| 我就抽。'],1,1,"[{""asr_result"": ""我就抽。"", ""start_time"": 1.0, ""end_time"": 1.82}]"
ASR-A1010&,"ASR-A1010&""-""&D1010",['| 3.4 十三点二个亿。'],1,1,"[{""asr_result"": ""3:40，3.2 个亿。"", ""start_time"": 1.0, ""end_time"": 3.79}]"
ASR-A1012&,"ASR-A1012&""-""&D1012",['| 药明康德 3.20 个亿。'],1,1,"[{""asr_result"": ""药明康德 3.20 个亿。"", ""start_time"": 1.0, ""end_time"": 3.472}]"
ASR-A1014&,"ASR-A1014&""-""&D1014",['| 8 月 19 号，3.2 个亿，这是 8 月 19 号的时间。'],1,1,"[{""asr_result"": ""8 月 19 号，3.2 个亿。这是 8 月 19 号的时间。"", ""start_time"": 1.0, ""end_time"": 5.802}]"
ASR-A1016&,"ASR-A1016&""-""&D1016",['| 他这个，他这个药明，康德 8 月 19 号，他为什么今天没有 20 号呢？'],1,1,"[{""asr_result"": ""他这个他这个药名，康德，8 月 19 号。他为什么今天没有 20 号呢？"", ""start_time"": 1.0, ""end_time"": 7.089}]"
ASR-A1018&,"ASR-A1018&""-""&D1018",['| 他现在这个股票的融券这一栏余量是 31.48 万股。'],1,1,"[{""asr_result"": ""他现在这个股票的融券这一栏余量是 31.48 万股。"", ""start_time"": 1.0, ""end_time"": 6.106}]"
ASR-A1020&,"ASR-A1020&""-""&D1020",['| 卖出量，卖，不是他，这是我看的是药明康德，是 8 月 19 号的。'],1,1,"[{""asr_result"": ""麦初亮，麦，不是他，这是，我看的是药明康德，是 8 月 19 号的。"", ""start_time"": 1.0, ""end_time"": 6.901}]"
ASR-A1022&,"ASR-A1022&""-""&D1022",['| 融券这一栏把余量是 31.48。'],1,1,"[{""asr_result"": ""融券这一栏，把余量是 31.48。"", ""start_time"": 1.0, ""end_time"": 4.469}]"
ASR-A1024&,"ASR-A1024&""-""&D1024",['| 卖出量是 1.34。'],1,1,"[{""asr_result"": ""卖出量是 11.34。"", ""start_time"": 1.0, ""end_time"": 2.905}]"
ASR-A1026&,"ASR-A1026&""-""&D1026",['| 偿还量是 5.29。'],1,1,"[{""asr_result"": ""偿还量是 5.29。"", ""start_time"": 1.0, ""end_time"": 2.913}]"
ASR-A1028&,"ASR-A1028&""-""&D1028",['| 所以说它是融券的，净卖出是互的 3.95。'],1,1,"[{""asr_result"": ""所以说它是融券的，净卖出是沪的 3.95。"", ""start_time"": 1.0, ""end_time"": 5.431}]"
"ASR-A103&""","ASR-A103&""-""&D103",['| 前面有，他也看出来。'],1,1,"[{""asr_result"": ""前面有，他也看出来。"", ""start_time"": 1.0, ""end_time"": 2.669}]"
ASR-A1030&,"ASR-A1030&""-""&D1030",['| 好的。'],1,1,"[{""asr_result"": ""好的。"", ""start_time"": 1.0, ""end_time"": 1.896}]"
ASR-A1032&,"ASR-A1032&""-""&D1032",['| 好嘞。'],1,1,"[{""asr_result"": ""好嘞。"", ""start_time"": 1.0, ""end_time"": 1.75}]"
ASR-A1034&,"ASR-A1034&""-""&D1034",['| 哦，他这个今天的数据还没有更新，还是 8 月 19 号了。'],1,1,"[{""asr_result"": ""哦，他这个今天的数据还没有更新，还是 8 月 19 号了。"", ""start_time"": 1.0, ""end_time"": 5.279}]"
ASR-A1036&,"ASR-A1036&""-""&D1036",['| 好嘞。'],1,1,"[{""asr_result"": ""好嘞。"", ""start_time"": 1.0, ""end_time"": 1.753}]"
ASR-A1038&,"ASR-A1038&""-""&D1038",['| 那这个是中，继续创 6.42 亿。'],1,1,"[{""asr_result"": ""那这个是中，继续创 6.42 亿。"", ""start_time"": 1.0, ""end_time"": 4.3}]"
ASR-A1040&,"ASR-A1040&""-""&D1040",['| 豆包它这个融资净买入。'],1,1,"[{""asr_result"": ""豆包，他这个融资净买入。"", ""start_time"": 1.0, ""end_time"": 3.509}]"
ASR-A1042&,"ASR-A1042&""-""&D1042",['| 是户数，这是什么意思呢？'],1,1,"[{""asr_result"": ""是互数，这是什么意思呢？"", ""start_time"": 1.0, ""end_time"": 3.682}]"
"ASR-A105&""","ASR-A105&""-""&D105",['| 这个，这个是什么？'],1,1,"[{""asr_result"": ""这个这个是什么啊？"", ""start_time"": 1.0, ""end_time"": 3.002}]"
