group_key,example_uttid,missing_texts,missing_count,total_segments,asr_result_raw_example
"ASR-A&""-""&D","ASR-A520&""-""&D520",['| 那你就是，你就是阿飘喽。'],1,1,"[{""asr_result"": ""那你就是你就是阿飘喽。"", ""start_time"": 1.0, ""end_time"": 3.228}]"
"Multiple_round_intent_unclear-A&""-""&D","Multiple_round_intent_unclear-A100&""-""&D100",['| 我不是让你说说答案的时候是 e、 a、 二二 b、 3C、 4D 在每个选项前加上数字吗？'],1,1,"[{""asr_result"": ""我不是让你说说答案的时候是，1A、 2B、 3C、 4D， 在每个选项前加上数字吗？"", ""start_time"": 1.0, ""end_time"": 10.709}]"
Obscured_narrative_v-session_-,Obscured_narrative_v2-session_1-1,['| 帮我看一下这本书定价多少元？'],1,1,"[{""asr_result"": ""帮我看一下这本书定价多少元？"", ""start_time"": 1.0, ""end_time"": 3.285}]"
Peace_Elite_back_-hpjy,Peace_Elite_back_1022-hpjy001,['| 我现在的位置距离卡车站有多远？能到吗？ |  | 卡车站跳了几个敌人？ |  | 帮我看看队友抽奖抽出什么空投枪了？ |  | 这个敌人的燃烧瓶也丢的太准了吧。 |  | 我手里这把枪用的是什么子弹？ |  | 这两人一起蹲墙角也太阴了吧。 |  | 我这个资源点是哪年新增的 |  | 这把MG3的皮肤叫什么来着 |  | 我开的这车叫什么名字？'],1,1,"[{""asr_result"": ""我现在的位置距离卡车站有多远？能到吗？"", ""start_time"": 1.0, ""end_time"": 4.155}, {""asr_result"": ""卡车站跳了几个敌人？"", ""start_time"": 5.155, ""end_time"": 6.96}, {""asr_result"": ""帮我看看队友抽奖抽出什么空投枪了？"", ""start_time"": 7.96, ""end_time"": 10.781}, {""asr_result"": ""这个敌人的燃烧瓶也丢的太准了吧！"", ""start_time"": 11.781, ""end_time"": 14.992}, {""asr_result"": ""我手里这把枪用的是什么子弹？"", ""start_time"": 15.992, ""end_time"": 18.22}, {""asr_result"": ""这两人一起蹲墙角也太阴了吧。"", ""start_time"": 19.22, ""end_time"": 21.902}, {""asr_result"": ""我这个资源点是哪年新增的？"", ""start_time"": 22.903, ""end_time"": 25.253}, {""asr_result"": ""这把 MG3 的皮肤叫什么来着？"", ""start_time"": 26.253, ""end_time"": 29.311}, {""asr_result"": ""我开的这车叫什么名字？"", ""start_time"": 30.311, ""end_time"": 32.206}]"
Self_awareness_v-session--,Self_awareness_v4-session-10-1,['| 你会唱你咖啡品味有多浓吗？'],1,1,"[{""asr_result"": ""你会唱《你咖啡品味有多浓》吗？"", ""start_time"": 1.0, ""end_time"": 3.484}]"
"action_missing-A&""-""&D","action_missing-A140&""-""&D140",['| 看看他，给我编个。'],1,1,"[{""asr_result"": ""看看他，给我编个"", ""start_time"": 1.0, ""end_time"": 2.499}]"
cfr_fullvideo_upload-,cfr_fullvideo_upload-133,['| 我想去看电影应该去几楼？ |  | 停车场在几楼？ |  | 这家商场一共有几楼？'],1,1,"[{""asr_result"": ""我想去看电影，应该去几楼？"", ""start_time"": 1.0, ""end_time"": 3.158}, {""asr_result"": ""停车场在几楼？"", ""start_time"": 4.158, ""end_time"": 5.458}, {""asr_result"": ""这家商场一共有几楼？"", ""start_time"": 6.458, ""end_time"": 8.402}]"
chat_intention_hard_result_fullvideo_upload_Sheet-v_多轮意图,chat_intention_hard_result_fullvideo_upload_Sheet1-v041_多轮意图,['| 哇，豆包，这个跑步机好大呀？ |  | 这个不适合放在家里吧？ |  | 晚上看到那个的话，我会被吓死。'],1,1,"[{""asr_result"": ""哇，豆包，这个跑步机好大呀！"", ""start_time"": 1.0, ""end_time"": 4.409}, {""asr_result"": ""这个不适合放在家里吧？"", ""start_time"": 5.409, ""end_time"": 7.511}, {""asr_result"": ""晚上看到那个的话，我会被吓死。"", ""start_time"": 8.511, ""end_time"": 11.306}]"
count_fullvideo_upload-,count_fullvideo_upload-12,['| 桌子上有几个笔记本？ |  | 桌上有几个牛奶？'],1,1,"[{""asr_result"": ""桌子上有几个笔记本？"", ""start_time"": 1.0, ""end_time"": 2.949}, {""asr_result"": ""桌上有几个牛奶？"", ""start_time"": 3.949, ""end_time"": 6.177}]"
doubao_Technology_exhibits-dbksj,doubao_Technology_exhibits-dbksj081,['| 好有意境啊，这个作品叫什么名字？ |  | 这个作品的创作者是谁？'],1,1,"[{""asr_result"": ""好有意境啊，这个作品叫什么名字？"", ""start_time"": 1.0, ""end_time"": 4.303}, {""asr_result"": ""这个作品的创作者是谁？"", ""start_time"": 5.303, ""end_time"": 7.589}]"
